question_no,question,0,1,2,3,answer,category
91,भारत के निम्न में से किस राज्य में परुषों की संख्या स्त्रियों से कम है ?,बिहार,राजस्थान,केरल,महाराष्ट्र,C,Indian GK
92,भारत में सबसे ऊँचा बाँध भाखड़ा किस नदी पर बना है ?,झेलम,सतलुज,गोदावरी,व्यास,B,Indian GK
93,भारत की पहली आइरन स्टील कम्पनी कहाँ स्थित है ?,जमशेदपुर में,हीरापुर में,मुम्बई में,गुवाहाटी में,A,Indian GK
94,भारत का कौन सा राज्य शक़्कर का कटोरा कहलाता है ?,आन्ध्र प्रदेश,तमिलनाडु,हिमाचल प्रदेश,उत्तर प्रदेश,D,Indian GK
95,भारत में कितने राष्ट्रीय राजमार्ग हैं ?,95,115,195,228,D,Indian GK
96,"भारत का एकमात्र स्थान, जहाँ टीन पाया जाता है ?",रीवा,हजारीबाग,सूरत,अहमदाबाद,B,Indian GK
97,वह नदी घाटी जिसे भारत का रुर के नाम से पुकारा जाता है ?,गोदावरी,दामोदर,पेरियार,हुगली,B,Indian GK
98,भारत में किस राज्य को भारत का खाद्यान्न भण्डार के रूप में जाना जाता है ?,उत्तर प्रदेश,पंजाब,हरियाणा,तमिलनाडु,B,Indian GK
99,शान्त घाटी स्थित है ?,तमिलनाडु में,हिमाचल प्रदेश में,केरल में,अरुणाचल प्रदेश में,C,Indian GK
100,मदुरै कहाँ है ?,तमिलनाडु में,आन्ध्र प्रदेश में,सिक्किम में,मेघालय में,A,Indian GK
101,भारतीय वानस्पतिक सर्वेक्षण का मुख्यालय कहाँ स्थित है ?,कोलकाता में,लखनऊ में,दार्जिलिंग में,इनमें से कोई नहीं,B,Indian GK
102,भारत में ऊर्जा का सर्वाधिक महत्वपूर्ण स्त्रोत है ?,नाभिकीय ऊर्जा,कोयला,पेट्रोल,जल विद्युत,B,Indian GK
103,राष्ट्रीय विज्ञान दिवस किस मनाया जाता है ?,25 मार्च,28 फरवरी,22 दिसम्बर,5 जून,B,Indian GK
104,भारत के तट रेखा की लम्बाई है ?,1500 किमी.,6100 किमी,6590 किमी,6500 किमी,B,Indian GK
105,भारत में समुद्री तट रेखा वाले राज्यों की संख्या कितनी है ?,10,8,9,6,C,Indian GK
106,भारत की मुख्य भूमि का दक्षिणी नोक है ?,कैलीमेयर प्वाइण्ट,केप केमोरिन,इन्दिरा प्वाइण्ट,इनमें से कोई नहीं,B,Indian GK
107,भारत का सबसे दक्षिणी बिन्दु है ?,केप केमोरिन,कैलीमेयर प्वाइण्ट,इन्दिरा प्वाइण्ट,नॉरीमन प्वाइण्ट,C,Indian GK
108,भारत और चीन के बीच कौन-सी रेखा सीमा निर्धारण करने का कार्य करती है ?,रेडक्लिफ रेखा,डूरण्ड रेखा,मैकमोहन रेखा,इनमें से कोई नहीं,C,Indian GK
109,भारत एवं पाकिस्तान को विभाजित करने वाली रेखा कहलाती है ?,रेडक्लिफ रेखा,डूरण्ड रेखा,मैकमोहन रेखा,इनमें से कोई नहीं,A,Indian GK
110,भारत की सबसे लम्बी स्थलीय सीमा किस देश के साथ है ?,पाकिस्तान,चीन,बांग्लादेश,म्यान्मार,C,Indian GK
111,भारत का पूर्वी समुद्री तट किस नाम से जाना जाता है ?,दीघा तट,मालावार तट,कोंकण तट,कोरोमण्डल तट,D,Indian GK
112,भारत किस गोलार्द्ध में स्थित है ?,दक्षिणी और पूर्वी,उत्तरी और पूर्वी,उत्तरी और पश्चिमी,इनमें से कोई नहीं,B,Indian GK
113,भारत की सबसे बड़ी सुरंग जवाहर सुरंग किस राज्य में अवस्थित है ?,राज्यस्थान,पश्चिम बंगाल,जम्मू और कश्मीर,हिमाचल प्रदेश,C,Indian GK
114,सियाचिन ग्लेशियर भारत के किस राज्य में है ?,हिमाचल प्रदेश,उत्तर प्रदेश,जम्मू कश्मीर,सिक्किम,C,Indian GK
115,निम्नलिखित में से भारत की सुदूर दक्षिण भौगोलिक इकाई कौन-सी है ?,लक्षद्वीप,रामेश्वर,कन्याकुमारी,निकोबार द्वीप समूह,D,Indian GK
116,भारत का दक्षिणी नोक है ?,इन्दिरा बिन्दु,केप केमोरिन,कैलीमेयर बिन्दु,इनमें से कोई नहीं,B,Indian GK
111,भारत का पूर्वी समुद्री तट किस नाम से जाना जाता है ?,दीघा तट,मालावार तट,कोंकण तट,कोरोमण्डल तट,A,Indian GK
118,भारत में कितने राज्य तट रेखा से लगे हैं ?,7,8,9,10,C,Indian GK
119,उत्तर भारत में उप हिमालय क्षेत्र के सहारे फैले समतल मैदान को क्या कहा जाता है ?,भावर,खादर,दून,तराई,A,Indian GK
120,भारत की उतरी सीमा पर स्थित पर्वत है ?,मैकाल,हिमालय,नीलगिरी,अरावली,B,Indian GK
121,"भारत के किस प्रदेश की सीमाएँ तीन देशों क्रमशः नेपाल, भूटान एवं चीन से मिलती है ?",मेघालय,अरुणाचल प्रदेश,पश्चिम बंगाल,सिक्किम,D,Indian GK
122,भारत का सर्वोच्च पर्वत शिखर है ?,कंचनजंगा,नन्दा देवी,गाडविन आस्टिन,नंगा पर्वत,C,Indian GK
123,भारत की कौन-सी पर्वत श्रेणी नवीनतम है ?,हिमालय,सहयाद्रि,अरावली,सतपुड़ा,A,Indian GK
124,भारत में निम्नलिखित में से कौन-सी पर्वत श्रेणी केवल एक राज्य में फैली हुई है ?,अरावली,अजन्ता,सतपुड़ा,इनमें से कोई नहीं,B,Indian GK
125,अरावली पर्वत का सर्वोच्च शिखर क्या कहलाता है ?,गुरुशिखर,सेर,दोदाबेट्टा,इनमें से कोई नहीं,A,Indian GK
126,निम्नलिखित में से सबसे प्राचीन पर्वत श्रेणी कौन-सी है ?,विन्ध्य,हिमालय,अरावली,सतपुड़ा,C,Indian GK
127,तुजू दर्रा भारत को किस देश से जोड़ता है ?,म्यान्मार,चीन,नेपाल,भूटान,A,Indian GK
128,भारत की सबसे बड़ी वाह नदी है ?,नर्मदा,महानदी,गंगा,गोदावरी,C,Indian GK
Show Answer129,नर्मदा नदी का अधिकांश भाग भारत के किस राज्य में बहता है ?,मध्य प्रदेश,राजस्थान,गुजरता,महाराष्ट्र,A,Indian GK
130,निम्नलिखित में से किस नदी का उद्गम स्थल भारत में नहीं है ?,चिनाब,रावी,सतलज,व्यास,C,Indian GK
131,भारत की सबसे बड़ी मीठे जल की झील निम्नलिखित में से कौन-सी है ?,पुष्कर,लोकटक,वूलर,डल,C,Indian GK
132,उत्तर-पूर्वी भारत की सबसे बड़ी झील लोकटक किस राज्य में स्थित है ?,मेघालय,मणिपुर,त्रिपुरा,मिजोरम,B,Indian GK
133,भारत में ताजे जल की सबसे बड़ी झील वूलर किस राज्य में स्थित है ?,उत्तर प्रदेश,जम्मू-कश्मीर,उत्तराखंड,हिमाचल प्रदेश,B,Indian GK
134,भारत की प्रसिद्ध लैगून झील है ?,मानसरोवर,चिल्का झील,पुलीकट,डल झील,B,Indian GK
135,भारत के किस राज्य में फुल्हर झील स्थित है ?,उत्तराखण्ड में,बिहार में,म. प्र. में,उ. प्र. में,D,Indian GK
136,भारत में प्रथम बहुउद्देश्यीय नदी घाटी परियोजना का निर्माण निम्न में से किस नदी पर किया गया है ?,कावेरी,गोदावरी,दामोदर,कोयना,C,Indian GK
137,भारत के कोरोमण्डल तट सर्वाधिक वर्षा होती है ?,जून-सितम्बर में,अक्टूबर-नवम्बर में,जनवरी-फरवरी में,मार्च-मई में,B,Indian GK
138,भारत में सर्वाधिक वर्षा प्राप्त करने वाला स्थान है ?,मावसिनराम,बीकानेर,शिमला,इनमें से कोई नहीं,A,Indian GK
139,भारत-पाक बगलिहार परियोजना निम्नलिखित नदियाँ में से किस एक पर स्थित है ?,झेलम,सतलज,व्यास,चिनाव,D,Indian GK
140,भारत के किस राज्य में जाड़े के मौसम में वर्षा होती है ?,उड़ीसा,प. बंगाल,केरल,तमिलनाडु,A,Indian GK
141,भारत के पश्चिमी समुद्री तट पर वर्षा किस मानसून से होती है ?,दक्षिण-पूर्व,दक्षिण-पश्चिम,उत्तर-पूर्व,उत्तर-पश्चिम,B,Indian GK
142,भारतीय वन सर्वेक्षण विभाग का मुख्यालय कहाँ स्थित है ?,नई दिल्ली,देहरादून,भोपाल,नागपुर,B,Indian GK
143,"भारत में वृक्षारोपण उत्सव जिसे 'वन महोत्सव' के नाम से जाना जाता है, के जन्मदाता कौन हैं ?",जवाहरलाल नेहरू,विनोबा भावे,के. एम. मुंशी,महात्मा गाँधी,C,Indian GK
144,विश्व के कुल वन क्षेत्रफल का कितना प्रतिशत हिस्सा भारत में है ?,2.11 %,2.82 %,1.9 %,इनमें से कोई नहीं,B,Indian GK
145,भारतीय वन सर्वेक्षण विभाग की स्थापना कब की गई थी ?,1999 ई. में,1989 ई. में,1981 ई. में,इनमें से कोई नहीं,C,Indian GK
