question_no,question,0,1,2,3,answer,category
221,पृथ्वी पर कुल कितने महासागर है ?,6,9,5,4,2,World GK
222,पृथ्वी पर कुल कितने महाद्वीप है ?,9,7,8,6,1,World GK
223,विश्व का सबसे बड़ा महाद्वीप है ?, अफ्रीका, दक्षिण अमेरिका, ऑस्ट्रेलिया, एशिया,3,World GK
224,विश्व का प्रथम विश्वविद्यालय कौन है ?, पेरिस विश्वविद्यालय, इलाहाबाद विश्वविद्यालय, तक्षशिला विश्वविद्यालय, असम विश्वविद्यालय,2,World GK
225,अन्तरिक्ष में कृत्रिम उपग्रह प्रक्षेपण करने वाला विश्व का प्रथम देश कौन है ?, इटली, ईराक, रूस, चाइना,2,World GK
226,अन्तरिक्ष में पहुँचने वाला विश्व का प्रथम व्यक्ति कौन है ?, मेजर यूरी गागरीन, वेलेन्टिना तरेश्कोवा, राकेश शर्मा, नील आर्मस्ट्रांग,0,World GK
227,चन्द्रमा पर मानव भेजने वाला विश्व का प्रथम देश कौन है ?, बांग्लादेश, ब्राज़ील, रूस, संयुक्त राज्य अमेरिका,3,World GK
228,चन्द्रमा में उतरने वाला विश्व का प्रथम व्यक्ति ?, राकेश शर्मा, नील आर्मस्ट्रांग, यूरी गागरिन, बछेन्द्री पाल,1,World GK
229,वायुयान से उड़ान भरने वाला विश्व का प्रथम व्यक्ति ?, प्लेटो, राइट बन्धु, राकेश शर्मा, क्लीमेंट ऐटली,1,World GK
230,विश्व का प्रथम कागजी मुद्रा जारी करने वाला देश ?, जापान, चीन, रूस, संयुक्त राज्य अमेरिका,1,World GK
231,विश्व का प्राचीनतम धर्म जो अस्तित्व में है ?, बौद्ध धर्म, यहूदी धर्म, सनातन धर्म, पारसी धर्म,2,World GK
232,विश्व का प्रथम नगर जिस पर परमाणु बम गिराया गया ?, लाओश, दिल्ली, हिरोशिमा, अन्य,2,World GK
233,विश्व का प्रथम पुस्तक मुद्रित करने वाला देश ?, भूटान‌, ऑस्ट्रेलिया, भार‌त‌, चीन,3,World GK
234,विश्व की प्रथम महिला प्रधान मन्त्री ?, एस. भण्डारनायके (लंका), इंदिरा गांधी (भार‌त‌), बेनज़ीर भुट्टो(पाकिस्तान), गोल्डा मीर(इज़राइल),0,World GK
235,विश्व का सबसे बड़ा द्वीपसमूह है ?, इंडोनेशिया, अण्डमान, स्कॉटलैण्ड, अन्य,0,World GK
236,विश्व का सबसे अधिक आबादी वाला शहर कौन है ?, सियोल, टोक्यो, शंघाई, अन्य,1,World GK
237,विश्व का सबसे छोटी महाद्वीप है ?, यूरोप, अफ्रीका, ऑस्ट्रेलिया, एन्टार्टिका,2,World GK
238,विश्व का सबसे बड़ा देश ?, जर्मनी, रूस, इंडोनेशिया, संयुक्त राज्य अमेरिका,1,World GK
