question_no,question,0,1,2,3,answer,category
1,भारत नाम की उत्पति का सम्बंध प्राचीन काल के किस प्रतापी राजा से है ?,महाराणा प्रताप,चन्द्रगुप्त मौर्या,भरत चक्रवर्ती,अशोका मौर्या,2,Indian GK
2,भारत का सबसे बड़ा शहर कौन है ?,मुंबई,कोलकाता,दिल्ली,मद्रास,0,Indian GK
3,भारत का सबसे बड़ा राज्य कौन है ?,उत्तर प्रदेश,महाराष्ट्र,राजस्थान,मध्यप्रदेश,2,Indian GK
4,भारत में कुल कितने राज्य है ?,28,29,36,15,1,Indian GK
5,भारत का सबसे लम्बी नदी कौन है ?,गण्डकी,कोसी,ब्रह्मपुत्र,गंगा,3,Indian GK
6,भारत का सबसे चौड़ी नदी कौन है ?,ब्रह्मपुत्र,गोमती,गंगा,चम्बल,0,Indian GK
7,भारत का सबसे ऊँची मीनार कौन है ?,चारमीनार,कुतुब मीनार,झूलता मीनारा,शहीद मीनार,1,Indian GK
8,भारत का सबसे लम्बा बाँध कौन सा है ?,भाखड़ा बांध,इंदिरा सागर बांध,हीराकुण्ड बाँध,नागार्जुन सागर बाँध,2,Indian GK
9,भारत का सबसे लम्बी सुरंग है ?,रोहतांग सुरंग,जवाहर सुरंग,मलीगुड़ा सुरंग,कामशेट सुरंग,1,Indian GK
10,भारत का सबसे ऊँची मूर्ति है ?,हरमंदिर साहिब,हाम्पी,नालंदा,गोमतेश्वर,3,Indian GK
11,भारत में प्रथम महिला विश्वविद्यालय कब स्थापित हुआ?,1917,1915,1916,1925,2,Indian GK
12,भारत का प्रथम महिला विश्वविद्यालय है ?,श्री पदमावती महिला विशवविद्यालय,एस.एन.डी.टी. महिला विश्वविद्यालय,वनस्थली विद्यापीठ,LSR महिला विश्वविद्यालय,1,Indian GK
13,भारत का प्रथम महिला विश्वविद्यालय कहाँ स्थापित हुआ था ?,दिल्ली,कोलकाता,मुम्बई,बैंगलुरू,2,Indian GK
14,एशियाई खेलों में स्वर्ण पदक प्राप्त करने वाली पहली भारतीय महिला कौन थी ?,कमलजीत संधू,सुचेता कृपलानी,राजिया बेगम,बछेंद्री पाल,0,Indian GK
15,माउंट एवरेस्ट पर चढ़ने वाली पहली भारतीय महिला कौन थी ?,कल्पना चावला,रजिया सुल्तान,बछेन्द्री पाल,सुचेता कृपलानी,2,Indian GK
16,भारत की प्रथम महिला आईपीएस कौन थी ?,सरोजिनी नायडू,किरन बेदी,विमला देवी,मदर टेरेरसा,1,Indian GK
17,भारत की पहली महिला राज्य पाल कौन थी ?,सरोजिनी नायडू,सुष्मिता सेन,प्रतिभा पाटिल,ममता बनर्जी,0,Indian GK
18,सर्वोच्च न्यायालय में प्रथम महिला न्यायाधीश कौन थी ?,उमा भारती,सुष्मिता सेन,एम. फातिमा बीवी,कर्णम मल्लेश्वरी,2,Indian GK
